AccelX,GyroZ,Temp,GPS
9.934283060224653739e-03,1.399355436586002116e-02,2.479744651750768725e+01,3.122998092192442243e+01
-2.765286023423693153e-03,1.050419861300179447e-02,2.495664439878534324e+01,3.123000139614989124e+01
1.295377076201384946e-02,3.111828238139326477e-03,2.476227402370001229e+01,3.123001586394466500e+01
3.046059712816050896e-02,-2.696578509184021158e-03,2.490761154110828812e+01,3.123004887687657316e+01
-4.683067494466719265e-03,1.201169017247251739e-02,2.443191559991386441e+01,3.123004556553124544e+01
-4.682739138983611077e-03,1.022018285866569016e-02,2.506398811221188083e+01,3.123003664518430966e+01
3.158425631014782908e-02,1.649213865851748353e-02,2.500036164260866656e+01,3.123006486036289431e+01
1.534869458305817592e-02,1.514560885792582204e-02,2.475487341067954361e+01,3.123005452696011019e+01
-9.389487718699043167e-03,2.054171093841014595e-02,2.519777370052972287e+01,3.123009082691054061e+01
1.085120087171929405e-02,5.944535027301603609e-03,2.528127104128796887e+01,3.123008528875348233e+01
-9.268353856249245126e-03,2.571974367437285941e-02,2.451773204068930667e+01,3.123009906363811439e+01
-9.314595071405137178e-03,1.576872984418935600e-02,2.477118256643013439e+01,3.123012325796647559e+01
4.839245431320682127e-03,3.579009090764632278e-02,2.476925729506380947e+01,3.123010712836431324e+01
-3.826560489315596059e-02,9.387973035613752376e-03,2.471802906966734170e+01,3.123011602881814852e+01
-3.449835665026065867e-02,3.487928235683938893e-02,2.524884245257952387e+01,3.123013416400673492e+01
-1.124575058481945382e-02,2.073577317221019650e-02,2.494185215836816027e+01,3.123016038378851178e+01
-2.025662240668847647e-02,1.347653848633597468e-02,2.492064554760681716e+01,3.123014480653924707e+01
6.284946651905477973e-03,1.638275027770757022e-02,2.439884129067797502e+01,3.123014167844402067e+01
-1.816048151042421940e-02,1.924566778181405896e-02,2.519062540906276837e+01,3.123017548841141533e+01
-2.824607402670583148e-02,2.791478049318714058e-02,2.462822248154395766e+01,3.123019551740799926e+01
2.931297537843108314e-02,3.012171032704415857e-02,2.501797978907989872e+01,3.123021200261749897e+01
-4.515526009730713372e-03,2.037265100182303335e-02,2.508321308138745920e+01,3.123020536838637895e+01
1.350564093758476738e-03,2.707826943823675794e-02,2.540819757875159368e+01,3.123021588573392648e+01
-2.849496372426913587e-02,4.995236019352361501e-02,2.460735388026426662e+01,3.123024153900734134e+01
-1.088765449050365340e-02,4.700841536772434187e-02,2.409414635325375187e+01,3.123022130258300422e+01
2.218451794197321813e-03,3.529484283562721314e-02,2.505515486342610743e+01,3.123024611479225143e+01
-2.301987154844605671e-02,3.250536915009637207e-02,2.554015335445325618e+01,3.123026190423890114e+01
7.513960366913438951e-03,3.451429274138836933e-02,2.537168390588183087e+01,3.123027449218721330e+01
-1.201277379837610050e-02,4.063253310676321478e-02,2.506289782458238946e+01,3.123027490193306832e+01
-5.833874995865536046e-03,2.544734318943911444e-02,2.485250914431038538e+01,3.123029034441011831e+01
-1.203413224458793791e-02,3.427377410679154079e-02,2.524213677899119190e+01,3.123027511672646384e+01
3.704556369017875800e-02,2.132813907358377392e-02,2.470793614008865902e+01,3.123030341751587713e+01
-2.699444947586784058e-04,4.316663649809252684e-02,2.514290733080686735e+01,3.123032453508712436e+01
-2.115421857911800596e-02,4.680059164542553496e-02,2.515164104774998677e+01,3.123032017705966012e+01
1.645089824206378074e-02,3.664461348754696063e-02,2.531806297224966329e+01,3.123034058984221772e+01
-2.441687299942044490e-02,5.835762887014386141e-02,2.582789801167332300e+01,3.123035446872501097e+01
4.177271900095108452e-03,3.149464441566701689e-02,2.511772479015363047e+01,3.123035657450799363e+01
-3.919340247759551393e-02,3.023616921794801057e-02,2.484731091228774957e+01,3.123037170463771162e+01
-2.656372097796861134e-02,4.824495192546081335e-02,2.499232770634240097e+01,3.123037037267434712e+01
3.937224717382470721e-03,5.758465393442332991e-02,2.446927722853326514e+01,3.123038793388720435e+01
1.476933159990820831e-02,6.505873029478345670e-02,2.479158606067328208e+01,3.123040610216169455e+01
3.427365623799410056e-03,4.472876356125803782e-02,2.487721526856606857e+01,3.123041156972960763e+01
-2.312965647764810700e-03,6.119476391344541577e-02,2.484277348061962343e+01,3.123041413468730454e+01
-6.022073911785775537e-03,5.110524432907419257e-02,2.504570646161011638e+01,3.123043224216404568e+01
-2.957043980734854957e-02,5.083828226372388154e-02,2.475327402028533896e+01,3.123044714609790873e+01
-1.439688416789417294e-02,6.246706369860496183e-02,2.533630920019734134e+01,3.123042950058721701e+01
-9.212775419195750465e-03,6.121111633349693437e-02,2.500006211947545864e+01,3.123047159074064894e+01
2.114244452437831490e-02,3.997273605632171989e-02,2.499720990365841544e+01,3.123046663745261498e+01
6.872365791369228032e-03,7.154201210672973821e-02,2.490163158504612539e+01,3.123048425489933067e+01
-3.526080310725467765e-02,7.160848949151159271e-02,2.504655720515769346e+01,3.123050197246923432e+01
6.481679387895900035e-03,5.257376950498521273e-02,2.524752947940029202e+01,3.123048628326302634e+01
-7.701645608326331167e-03,6.379994397346677726e-02,2.473986093528672825e+01,3.123050290558997588e+01
-1.353844000611917515e-02,6.578525396224908783e-02,2.480256505327742289e+01,3.123051711451304158e+01
1.223352577681735727e-02,6.444510584986060109e-02,2.490888219136699888e+01,3.123052216246479063e+01
2.061999044991901994e-02,5.731894819111003209e-02,2.459623872295803437e+01,3.123055734936576044e+01
1.862560238232397261e-02,5.707945739593066337e-02,2.475422264208355116e+01,3.123054143227906110e+01
-1.678435046445277135e-02,6.450374745382495001e-02,2.485713373793660352e+01,3.123055444453220630e+01
-6.184247517024291790e-03,7.743992871951251022e-02,2.526231675421381695e+01,3.123057204389031583e+01
6.625268628071279142e-03,7.209159286418152790e-02,2.507876839870057850e+01,3.123056797850473743e+01
1.951090254244718450e-02,6.388185401540684427e-02,2.505807697341026241e+01,3.123058604319288278e+01
-9.583484756905799942e-03,7.622669615486153682e-02,2.525526938865039028e+01,3.123060317453261092e+01
-3.713179533276342401e-03,4.093515440777149156e-02,2.495878846348018243e+01,3.123060667139595381e+01
-2.212669948012056451e-02,8.180812491178941770e-02,2.511713945497866618e+01,3.123061906613141403e+01
-2.392413248161341655e-02,5.381209075532153441e-02,2.496903347412025198e+01,3.123062470667887780e+01
1.625051644788396213e-02,6.846231247842718415e-02,2.507960870481988991e+01,3.123062485529690946e+01
2.712480057141646028e-02,6.175611016595740355e-02,2.482517240271652526e+01,3.123065321593211507e+01
-1.440202431606677066e-03,6.086053840602483056e-02,2.426835485251707070e+01,3.123067754933071782e+01
2.007065795784048270e-02,8.625848670659037876e-02,2.495971625134410843e+01,3.123067018401630790e+01
7.232720500952682756e-03,7.080426074296096439e-02,2.542682444082998217e+01,3.123068225264117359e+01
-1.290239509210248589e-02,7.976542225445988621e-02,2.527786462067247797e+01,3.123069692722755164e+01
7.227912110168278545e-03,7.663821548108062931e-02,2.528961924537735229e+01,3.123068730669503168e+01
3.076073132931938375e-02,8.267266683058033250e-02,2.537083921654186369e+01,3.123072702514658161e+01
-7.165207821990308111e-04,7.945298844776155223e-02,2.502659727728843109e+01,3.123072202328796720e+01
3.129287311628012325e-02,6.662490814935867478e-02,2.505919471222167871e+01,3.123074631856899330e+01
-5.239490208179489045e-02,9.017498746997577863e-02,2.481470443136969450e+01,3.123073266967004713e+01
1.643805008750447855e-02,7.601955050246127221e-02,2.490517814319188616e+01,3.123076818061922566e+01
1.740941364763424516e-03,6.612328473269303564e-02,2.518473134493134324e+01,3.123076775155493934e+01
-5.980147009317349736e-03,7.812701400067731394e-02,2.536116533115064442e+01,3.123077553040085874e+01
1.835215530710046072e-03,9.812178613791246173e-02,2.495816611729570056e+01,3.123078234024454147e+01
